prompt,response
What are the different BGP states?,"Idle, Connect, Active, OpenSent, OpenConfirm, Established."
In which BGP state do routers exchange routing information?,Established state.
What is a BGP neighbor (or peer)?,A BGP neighbor (or peer) is a router that has established a BGP session with another router to exchange routing information.
What are BGP Path Attributes?,"BGP Path Attributes are properties associated with a route, used by BGP to determine the best path to a destination."
Name some common BGP Path Attributes.,"NEXT_HOP, AS_PATH, LOCAL_PREF, MED (Multi-Exit Discriminator), ORIGIN, COMMUNITY, WEIGHT."
What is the AS_PATH attribute?,The AS_PATH attribute is a list of ASNs through which a route has passed to reach the destination. It's used for loop prevention.
What is the NEXT_HOP attribute?,The NEXT_HOP attribute specifies the IP address of the next router to which traffic should be sent to reach the destination network.
What is the LOCAL_PREF attribute?,LOCAL_PREF is an iBGP attribute used to prefer an exit path out of an AS. Higher LOCAL_PREF is preferred.
What is the MED (Multi-Exit Discriminator) attribute?,MED is an eBGP attribute used to influence how other ASes route traffic into your AS when there are multiple entry points. Lower MED is preferred.
What is the ORIGIN attribute?,"The ORIGIN attribute indicates how a route was introduced into BGP (IGP, EGP, Incomplete)."
What is the WEIGHT attribute?,WEIGHT is a Cisco-proprietary attribute used locally on a router to prefer a specific path. Higher WEIGHT is preferred.
What is the BGP Best Path Selection Algorithm?,A complex algorithm used by BGP to choose the single best path among multiple possible paths to a destination.
List the first three steps of the BGP Best Path Algorithm (simplified).,1. Prefer path with largest WEIGHT. 2. Prefer path with largest LOCAL_PREF. 3. Prefer path originated by the local router (or through 'network' command).
What is route dampening in BGP?,Route dampening is a mechanism to suppress the advertisement of unstable routes to prevent routing churn.
What is a BGP Community attribute?,"A BGP Community is a tag that can be attached to BGP routes to group them and apply common policies (e.g., no-export, no-advertise)."
What is a standard BGP Community?,"A 32-bit value in the format `ASN:VALUE` (e.g., 65000:100)."
What are well-known BGP Communities?,"NO_EXPORT, NO_ADVERTISE, LOCAL_AS."
What is the `network` command in BGP configuration used for?,To inject routes from the router's routing table into the BGP table.
What is a BGP router ID?,A 32-bit value (typically an IP address) that uniquely identifies a BGP router within an AS.
How is the BGP router ID determined?,"Highest IP address on a loopback interface, or highest IP address on an active physical interface, or manually configured."
What is a BGP confederation?,A BGP confederation divides a large AS into multiple sub-ASes to reduce the number of iBGP full-mesh connections required.
What is a BGP Route Reflector (RR)?,"A Route Reflector is an iBGP router that can reflect routes learned from one iBGP peer to other iBGP peers, eliminating the need for a full iBGP mesh."
What is a Route Reflector Client?,An iBGP peer that receives reflected routes from a Route Reflector.
What is a Route Reflector Non-Client?,An iBGP peer that is not a client of a Route Reflector; it must maintain a full mesh with other non-clients (or connect to another RR).
What is BGP synchronization?,A rule that prevents a router from advertising an iBGP-learned route to an eBGP peer unless that route is also learned via an IGP within the AS.
Is BGP synchronization enabled by default in modern BGP implementations?,"No, it is typically disabled by default or not applicable in modern BGP networks, especially with full iBGP mesh or Route Reflectors."
What is the maximum number of hops for iBGP peers?,"There is no theoretical hop limit for iBGP peers, only IP reachability is required."
What is the purpose of `next-hop-self` in iBGP?,"To change the NEXT_HOP attribute for iBGP-learned routes to the local router's IP address when advertising to other iBGP peers, ensuring reachability."
What is the `soft-reconfiguration` command used for in BGP?,To allow a router to re-process incoming BGP updates from a peer without tearing down the BGP session.
What is a Prefix List in BGP?,A Prefix List is a sequential list of IP prefixes used to filter BGP routes based on network address and mask length.
What is a Route Map in BGP?,"A Route Map is a powerful and flexible tool used to apply policies to BGP routes, allowing matching based on various criteria and setting attributes."
What is BGP graceful restart?,"A feature that allows a BGP speaker to temporarily retain its forwarding state and routing information during a planned restart or temporary outage, minimizing traffic disruption."
What is BGP multi-pathing?,"A feature that allows a BGP speaker to install multiple equally good paths to a destination into the routing table, enabling load sharing."
What is the difference between BGP `origin` and `network` command?,`origin` is a path attribute indicating how a route entered BGP. `network` command is a configuration command to inject a route into BGP.
What is BGP Conditional Advertisement?,A feature that allows a BGP router to advertise a route only if another specific route exists (or does not exist) in the routing table.
What is the BGP peering reset (hard reset)?,"Tearing down and re-establishing the BGP TCP session, clearing all routing information exchanged with that peer."
What is BGP `outbound route filtering` (ORF)?,"A feature that allows a BGP peer to send its outbound filtering rules (e.g., prefix lists) to its neighbor, so the neighbor doesn't send unwanted routes."
What is BGP `remove-private-AS`?,"A configuration option that removes private ASNs from the AS_PATH attribute when advertising routes to an eBGP peer, preventing private ASNs from being propagated on the Internet."
What is BGP TTL Security?,"A security feature that sets the TTL for eBGP packets to 255 and verifies the inbound TTL is 255, protecting against off-net attackers and some forms of spoofing."
What is the primary motivation for using BGP in a large enterprise network?,"To implement complex routing policies, enable multi-homing to multiple ISPs, and gain more control over inbound/outbound traffic flows."
What is multi-homing with BGP?,"Connecting an AS to more than one upstream ISP, typically using BGP to exchange routes for redundancy and traffic engineering."
What is the purpose of `maximum-prefix` in BGP configuration?,"To limit the number of prefixes accepted from a BGP peer, preventing malicious or misconfigured peers from overwhelming the routing table."
What is BGP route flap?,"Rapid and repeated withdrawal and advertisement of a route, causing instability in the routing table."
How can you mitigate BGP route flap?,"Through route dampening, more stable peerings, and careful policy configuration."
What is a BGP confederation peer?,"A BGP peer within the same confederation, but in a different sub-AS. They exchange routes as if they were iBGP peers, but use eBGP rules."
What is MPLS BGP VPN?,A technology where BGP is used to exchange VPN routing information (VPNv4 routes) between Provider Edge (PE) routers over an MPLS core network.
What are BGP extended communities?,"An extension to standard communities, offering more bits (64-bit) for more complex policy tagging and transitive properties across AS boundaries."
What is BGP loop detection based on?,"The AS_PATH attribute. If a BGP router receives an update with its own ASN in the AS_PATH, it discards the route to prevent a loop."
What is `originator-id` in BGP?,"An optional, non-transitive attribute added by a Route Reflector to a reflected route, indicating the router ID of the actual originator of the route within the AS."
What is `cluster-list` in BGP?,"An optional, transitive attribute added by a Route Reflector to a reflected route, indicating the cluster IDs that the route has traversed."
What is `administrative distance` for BGP?,"The administrative distance (AD) for eBGP is 20, and for iBGP is 200 (Cisco defaults). It's used to prefer routes learned via other protocols over BGP or vice-versa."
When does BGP advertise routes?,"When a BGP neighbor session is established, and whenever there's a change in the routing information (new route, withdrawn route, attribute change)."
What is the `aggregate-address` command in BGP used for?,"To create a single, summarized route (aggregate) from more specific routes within the BGP table, reducing the size of routing tables."
What are the types of BGP aggregation?,Summary-only (advertises only the aggregate) and detailed (advertises aggregate and more specific routes).
